Temperature_C,Current_Density_mA_cm2,Voltage_V,Efficiency_percent,H2_Production_mL_min
60.0,800.0,1.5632999999999992,94.67984999999992,139.296
60.0,988.8888888888889,1.6218499999999982,91.28919999999991,172.18533333333335
60.0,1177.7777777777778,1.6287499999999984,90.86759999999995,205.07466666666667
60.0,1366.6666666666665,1.655699999999999,89.14814999999992,237.96399999999997
60.0,1555.5555555555557,1.7114999999999987,87.00314999999996,270.85333333333335
60.0,1744.4444444444443,1.7663999999999982,83.40729583333341,303.74266666666665
60.0,1933.3333333333333,1.8001999999999985,81.99754583333332,336.632
60.0,2122.222222222222,1.8301499999999995,80.64984999999993,369.5213333333333
60.0,2311.1111111111113,1.8856999999999968,78.46195,402.4106666666667
60.0,2500.0,1.9266499999999993,76.85365000000009,435.3
65.0,800.0,1.5689999999999988,94.26014999999994,139.296
65.0,988.8888888888889,1.6228999999999985,91.23019999999988,172.18533333333335
65.0,1177.7777777777778,1.6301499999999982,90.7778499999999,205.07466666666667
65.0,1366.6666666666665,1.6535499999999994,89.2909999999999,237.96399999999997
65.0,1555.5555555555557,1.7051999999999985,87.28559999999995,270.85333333333335
65.0,1744.4444444444443,1.762899999999998,83.46638333333338,303.74266666666665
65.0,1933.3333333333333,1.8013499999999991,82.0581833333333,336.632
65.0,2122.222222222222,1.8147500000000003,81.39784999999995,369.5213333333333
65.0,2311.1111111111113,1.8831499999999968,78.52250000000002,402.4106666666667
65.0,2500.0,1.9199999999999995,77.1739500000001,435.3
70.0,800.0,1.5688499999999987,94.31584999999994,139.296
70.0,988.8888888888889,1.6173499999999992,91.58384999999993,172.18533333333335
70.0,1177.7777777777778,1.6242999999999987,91.31714999999994,205.07466666666667
70.0,1366.6666666666665,1.6453499999999988,90.12804999999987,237.96399999999997
70.0,1555.5555555555557,1.6848499999999986,88.36654999999992,270.85333333333335
70.0,1744.4444444444443,1.759949999999999,83.8524333333334,303.74266666666665
70.0,1933.3333333333333,1.7889999999999997,82.79608333333337,336.632
70.0,2122.222222222222,1.798800000000001,82.41834999999999,369.5213333333333
70.0,2311.1111111111113,1.8777499999999976,78.85975000000002,402.4106666666667
70.0,2500.0,1.9217999999999995,77.1392500000001,435.3
75.0,800.0,1.5677999999999992,94.34879999999994,139.296
75.0,988.8888888888889,1.6170499999999992,91.59409999999994,172.18533333333335
75.0,1177.7777777777778,1.6221999999999985,91.35479999999995,205.07466666666667
75.0,1366.6666666666665,1.6445999999999987,90.12124999999988,237.96399999999997
75.0,1555.5555555555557,1.672449999999999,88.82914999999988,270.85333333333335
75.0,1744.4444444444443,1.7547499999999996,84.2546500000001,303.74266666666665
75.0,1933.3333333333333,1.7791500000000002,83.22025000000009,336.632
75.0,2122.222222222222,1.799500000000001,82.46995000000001,369.5213333333333
75.0,2311.1111111111113,1.8785999999999974,78.81990000000003,402.4106666666667
75.0,2500.0,1.9209999999999992,77.1574500000001,435.3
80.0,800.0,1.567449999999999,94.32569999999994,139.296
80.0,988.8888888888889,1.616749999999999,91.56879999999994,172.18533333333335
80.0,1177.7777777777778,1.6220999999999988,91.33689999999997,205.07466666666667
80.0,1366.6666666666665,1.6445999999999987,90.08559999999987,237.96399999999997
80.0,1555.5555555555557,1.6762499999999998,88.75549999999988,270.85333333333335
80.0,1744.4444444444443,1.7546000000000004,84.27780000000008,303.74266666666665
80.0,1933.3333333333333,1.7806000000000006,83.13180000000006,336.632
80.0,2122.222222222222,1.7995500000000009,82.46615,369.5213333333333
80.0,2311.1111111111113,1.8781999999999974,78.82550000000003,402.4106666666667
80.0,2500.0,1.9203999999999994,77.16810000000011,435.3
