Feature,Importance
Current_Density_mA_cm2,0.9786698377861558
Operating_Temperature_C,0.004300876221481318
Temp_x_CurrentDensity,0.0021783161354943085
Anode_Pressure_bar,0.0019487930203982236
CurrentDensity_per_MembraneThickness,0.0015794169724355246
Membrane_Thickness_um,0.0014691257365606943
Cathode_Catalyst_Efficiency,0.0013312087871522604
Anode_Catalyst_Activity,0.0011548028426718675
Membrane_Resistance_Index,0.0011086055518941815
Membrane_Water_Content_lambda,0.0010762116106684423
Cathode_Catalyst_Loading_mg_cm2,0.0010442068387463838
Cathode_Pressure_bar,0.0009866258671639202
Pressure_Differential,0.0009565344780867917
Anode_Catalyst_Loading_mg_cm2,0.0009128887630960124
Total_Catalyst_Loading,0.0008108542666195867
Anode_Catalyst_Type_encoded,0.0003027358063176489
Membrane_Type_encoded,0.0001689593150569853
